Field_Number,SNP Plate Number,SNP Well Position,Near_Town,Extraction_Location,Collector,Country,State,Lat,Long,Group,Stage,Stage (notes),Year,Month,Day,RAD?
1710-46340,2,D5,Owen's River at Bishop,WIFL_EXT4_H4,Eben Paxton,USA,CA,37.4083,-118.48,ext,Breeding,,1999,7,9,
1710-46341,2,D6,Owen's River at Bishop,WIFL_EXT4_H5,Eben Paxton,USA,CA,37.4083,-118.48,ext,Breeding,,1999,7,9,
1710-46342,2,D7,Owen's River at Bishop,WIFL_EXT4_H6,Eben Paxton,USA,CA,37.4083,-118.48,ext,Breeding,,1999,7,9,
1710-46343,2,D8,Owen's River at Bishop,WIFL_EXT4_H7,Eben Paxton,USA,CA,37.4083,-118.48,ext,Breeding,,1999,7,10,
1740-91689,2,D9,Owen's River at Bishop,WIFL_EXT7_F4,Eben Paxton,USA,CA,37.4083,-118.48,ext,Breeding,,1998,6,24,
1740-91690,2,D10,Owen's River at Bishop,WIFL_EXT7_F5,Eben Paxton,USA,CA,37.4083,-118.48,ext,Breeding,,1998,6,24,
1740-91801,2,D11,Owen's River at Bishop,WIFL_EXT7_H3,Eben Paxton,USA,CA,37.4083,-118.48,ext,Breeding,,1998,7,14,
1740-91802,2,D12,Owen's River at Bishop,WIFL_EXT7_H4,Eben Paxton,USA,CA,37.4083,-118.48,ext,Breeding,,1998,7,14,
1710-20503,2,E1,Fall Creek,WIFL_ADA1_I3,Eben Paxton,USA,WY,43.3394,-110.81,ada,Breeding,,1998,7,13,
1710-20504,2,E2,Fall Creek,WIFL_ADA1_I4,Eben Paxton,USA,WY,43.3394,-110.81,ada,Breeding,,1998,7,13,
1710-20505,2,E3,Fall Creek,WIFL_ADA1_I5,Eben Paxton,USA,WY,43.3394,-110.81,ada,Breeding,,1998,7,13,
1740-91779,2,E4,Elm Creek,"WIFL_ADA2_F6, WIFL_PA-TRA1_G1",Eben Paxton,USA,MN,45.1333,-93.45,tra,Breeding,,1998,6,23,
1740-91780,2,E5,Elm Creek,"WIFL_ADA2_F7, WIFL_PA-TRA1_G2",Eben Paxton,USA,MN,45.1333,-93.45,tra,Breeding,,1998,6,24,Failed
1740-91781,2,E6,Elm Creek,WIFL_PA-TRA1_G3,Eben Paxton,USA,MN,45.1333,-93.45,tra,Breeding,,1998,6,24,
1740-91783,2,E7,Elm Creek,WIFL_PA-TRA1_G4,Eben Paxton,USA,MN,45.1333,-93.45,tra,Breeding,,1998,6,25,Failed
1710-46164,2,E8,Edgwick,WIFL_BRW1_F2,Eben Paxton,USA,WA,47.4689,-121.71,brw,Breeding,Possible Breeding,1999,7,22,Failed
1590-27284,2,E9,Fork clearcut,WIFL_BRW1_A1,Eben Paxton,USA,WA,47.9678,-124.4,brw,Breeding,,NA,NA,NA,
1590-97285,2,E10,Fork clearcut,WIFL_BRW1_B3,Eben Paxton,USA,WA,47.9678,-124.4,brw,Breeding,Possible Breeding,1999,7,21,
1710-46156,2,E11,Mirror Lake,WIFL_ADA2_A6,Eben Paxton,USA,WA,48.6731,-122.26,ada,Breeding,,1999,7,20,
1710-46158,2,E12,Mirror Lake,WIFL_ADA2_A7,Eben Paxton,USA,WA,48.6731,-122.26,ada,Breeding,,1999,7,20,
1710-46159,2,F1,Mirror Lake,WIFL_ADA2_A8,Eben Paxton,USA,WA,48.6731,-122.26,ada,Breeding,,1999,7,20,
1710-20530,2,F2,Priem Road,WIFL_BRW1_D7,Eben Paxton,USA,OR,44.7821,-123.38,brw,Breeding,,1999,7,18,Failed
07N2015,2,F3,Ashland,,,USA,OR,41.63,-122.1,brw,Breeding,,2007,6,12,
07N1472,2,F4,Ashland,,Robert I. Frey,USA,OR,42.1997,-122.69,brw,Breeding,,2007,6,30,
07N2010,2,F5,Ashland,,,USA,OR,42.1997,-122.69,brw,Breeding,,2007,6,11,
08N15593,2,F6,Marion Forks,,"Corissa Crowder, Juan Carlos Valarezo",USA,OR,44.3708,-122.02,brw,Breeding,,2008,7,21,
09N17478,2,F7,Marion Forks,,"Herman Arias, Steve Ploetz",USA,OR,44.3708,-122.02,brw,Breeding,,2009,6,22,
09N23231,2,F8,Marion Forks,,,USA,OR,44.3708,-122.02,brw,Breeding,,2009,7,20,
09N23264,2,F9,Marion Forks,,,USA,OR,44.3708,-122.02,brw,Breeding,,2009,7,20,
10N15036,2,F10,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,6,22,
10N15044,2,F11,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,7,20,
10N15076,2,F12,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,6,22,
10N15080,2,G1,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,6,22,
10N15109,2,G2,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,7,20,
10N15111,2,G3,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2010,7,20,
10N15156,2,G4,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2011,6,15,
11N0853,2,G5,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2011,6,15,
11N0856,2,G6,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2011,7,13,
11N0857,2,G7,Marion Forks,,Ron Taylor,USA,OR,44.3708,-122.02,brw,Breeding,,2011,7,22,
06N34176,2,G8,Kelly,,Doug Wachob,USA,WY,43.6722,-110.6,NA,Migrant,,2006,8,2,
06N8451,2,G9,Kelly,,Doug Wachob,USA,WY,43.6722,-110.6,NA,Migrant,,2006,8,2,
10N10565,2,G10,Silverton,,Dan Froelich,USA,WA,48.0508,-121.43,NA,Migrant,,2010,8,7,
06N31862,2,G11,Silverton,,Victor Sepulveda,USA,WA,48.1681,-121.45,NA,Migrant,,2006,8,2,
06N31870,2,G12,Silverton,,Victor Sepulveda,USA,WA,48.1681,-121.45,NA,Migrant,,2006,8,2,
06N21751,2,H1,Merlin,,John Alexander/Bob Frey,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,6,
06N21759,2,H2,Merlin,,John Alexander/Bob Frey,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,14,
06N21765,2,H3,Merlin,,John Alexander/Bob Frey,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,14,
06N2435,2,H4,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,14,
06N2436,2,H5,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,14,
06N2437,2,H6,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,14,
06N3121,2,H7,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,9,25,
06N3460,2,H8,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,21,
06N3494,2,H9,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,21,
06N3495,2,H10,Merlin,,IBP MAPS,USA,OR,42.4903,-123.48,NA,Migrant,,2006,8,21,
06N5430,3,A1,Lewiston,,John C. Ralph,USA,CA,40.7208,-122.8,NA,Migrant,,2006,9,8,
