short_name,missing_data,population,Cluster1,Cluster 2,Cluster3,Cluster4,Cluster5
adaWY002,0,15,0.544,0.009,0.416,0.022,0.009
adaWY003,0,15,0.893,0.025,0.075,0.005,0.002
traNY001,0,16,0.001,0.996,0.001,0.001,0.001
traNY002,-1,16,0.007,0.974,0.005,0.004,0.01
traNY003,-1,16,0.003,0.99,0.002,0.001,0.004
traMD001,0,17,0.005,0.983,0.005,0.004,0.003
traMD002,0,17,0.003,0.991,0.003,0.002,0.002
traMD003,0,17,0.004,0.98,0.003,0.01,0.002
traMD004,0,17,0.011,0.968,0.008,0.003,0.01
traMD005,0,17,0.014,0.959,0.018,0.004,0.005
traMD006,0,17,0.003,0.981,0.002,0.014,0.001
traMD008,0,17,0.014,0.963,0.012,0.004,0.008
traMD009,0,17,0.006,0.982,0.006,0.002,0.004
traTN001,0,18,0.004,0.985,0.004,0.004,0.004
traTN002,0,18,0.004,0.984,0.003,0.002,0.006
traTN003,0,18,0.002,0.992,0.002,0.002,0.001
traTN004,0,18,0.005,0.986,0.003,0.004,0.002
traTN005,0,18,0.006,0.982,0.005,0.002,0.004
traTN006,0,18,0.002,0.989,0.002,0.006,0.001
traTN007,-1,18,0.026,0.916,0.019,0.032,0.006
traMI001,0,19,0.004,0.986,0.003,0.004,0.004
traMI002,0,19,0.002,0.993,0.001,0.003,0.001
traMI003,0,19,0.006,0.981,0.007,0.003,0.004
traMI004,0,19,0.003,0.99,0.002,0.003,0.001
traMI005,0,19,0.003,0.991,0.002,0.003,0.001
traMI006,0,19,0.006,0.981,0.006,0.002,0.005
traMI007,0,19,0.003,0.988,0.004,0.001,0.004
traMI008,0,19,0.002,0.992,0.002,0.003,0.001
traMI009,0,19,0.004,0.989,0.004,0.002,0.001
traMI010,0,19,0.01,0.951,0.004,0.013,0.022
traMI011,0,19,0.004,0.988,0.003,0.002,0.003
traMN001,0,20,0.022,0.946,0.016,0.009,0.007
traMN002,0,20,0.003,0.992,0.002,0.002,0.002
traMN003,0,20,0.002,0.991,0.003,0.002,0.002
traMN004,0,20,0.019,0.96,0.013,0.003,0.005
traND001,0,21,0.649,0.333,0.01,0.004,0.004
traND002,0,21,0.086,0.783,0.018,0.104,0.009
traND003,0,21,0.123,0.747,0.013,0.048,0.069
traSD001,0,22,0.163,0.705,0.023,0.005,0.104
traSD002,-1,22,0.325,0.626,0.035,0.005,0.009
